event_id,catalogue_id,span_key,span_label,recording_id,source_file,channel,fs,morphology,trigger,up_region_start_idx,up_region_end_idx,onset_idx,onset_h,trough_idx,trough_h,snippet_start_idx,snippet_end_idx,snippet_key,onset_slope_raw,max_slope_raw,drop_depth_mv,rise_height_mv,fall_duration_s,peak_to_peak_mv,fall_dominance,rise_frac_used,pre_context_s,post_context_s,detrend_window_s,segment_seconds,same_fraction,slope_sigma,purity,is_pure,cluster_id
id025_r2_1163015,25,id025,ID 25,2,CH1.npy,1,1.0,trough,fall,-1,-1,1163015,323.0597222222222,1163039,323.06638888888887,1162871,1163183,id025_r2_1163015,-0.0011042683521013674,-0.0017542018238460022,16.26657319264524,0.0,24.0,17.036603535093175,0.9548014167928617,0.5,144.0,144.0,481.66666666666663,9.633333333333333,0.6,8.0,1,1,-1
id025_r2_1165345,25,id025,ID 25,2,CH1.npy,1,1.0,trough,fall,-1,-1,1165345,323.70694444444445,1165393,323.72027777777777,1165340,1165681,id025_r2_1165345,-0.0005806876143855111,-0.0009786897592364285,10.310573776648901,0.0,48.0,10.85861853665393,0.9495290530600122,0.5,5.0,288.0,481.66666666666663,9.633333333333333,0.6,8.0,2,0,-1
id025_r2_1166483,25,id025,ID 25,2,CH1.npy,1,1.0,trough,fall,-1,-1,1166483,324.0230555555556,1166509,324.03027777777777,1166327,1166616,id025_r2_1166483,-0.0006586011256827784,-0.0009622691085026669,8.671160828315427,0.0,26.0,8.961374387373988,0.967615061427692,0.5,156.0,107.0,481.66666666666663,9.633333333333333,0.6,8.0,1,1,-1
id026_r7_2225865,26,id026,ID 26,7,CH6.npy,6,1.0,sharkfin,rise,2223300,2224080,2225865,618.2958333333333,2225870,618.2972222222222,2223105,2226420,id026_r7_2225865,-0.0002168467616275871,-0.0008812622700675732,2.7665450269940273,2.0695273292836713,5.0,4.462771722874903,0.6199163207953258,0.5,2760.0,550.0,38990.0,779.8,0.6,8.0,1,1,-1
id026_r7_2351830,26,id026,ID 26,7,CH6.npy,6,1.0,sharkfin,rise,2349660,2350440,2351830,653.2861111111112,2351838,653.2883333333333,2349465,2354340,id026_r7_2351830,-9.357570160561934e-05,-0.0007059298495811772,3.7882111149099007,2.963924903075954,8.0,4.27941713402169,0.8852166069050235,0.5,2365.0,2502.0,38990.0,779.8,0.6,8.0,1,1,-1
id028_r6_1394132,28,id028,ID 28,6,CH5.npy,5,1.0,sharkfin,rise,1392680,1393418,1394132,387.25888888888886,1394141,387.2613888888889,1393640,1394633,id028_r6_1394132,-0.009378592479511783,-0.010213554692476201,28.87904544500963,44.338561344769325,9.0,50.12864782067928,0.5760986322295398,0.5,492.0,492.0,4103.333333333333,82.06666666666666,0.6,8.0,1,1,-1
id028_r6_1402008,28,id028,ID 28,6,CH5.npy,5,1.0,sharkfin,rise,1400306,1401126,1402008,389.44666666666666,1402209,389.5025,1400802,1402274,id028_r6_1402008,-0.0001477782701645447,-0.0001477782701645447,11.109355344510519,5.835761970128139,201.0,21.98524956325265,0.5053094945567187,0.5,1206.0,65.0,4103.333333333333,82.06666666666666,0.6,8.0,1,1,-1
id028_r6_1407613,28,id028,ID 28,6,CH5.npy,5,1.0,sharkfin,rise,1404980,1405964,1407613,391.0036111111111,1407825,391.0625,1406341,1407850,id028_r6_1407613,-0.00013228849696855782,-0.00015265630287564225,13.501923250803793,10.80175073355738,212.0,24.23619850670722,0.5570974031701885,0.5,1272.0,25.0,4103.333333333333,82.06666666666666,0.6,8.0,1,1,-1
id028_r6_1410261,28,id028,ID 28,6,CH5.npy,5,1.0,sharkfin,rise,1407850,1408916,1410261,391.7391666666667,1410478,391.7994444444444,1408959,1410556,id028_r6_1410261,-0.00012707107640830273,-0.00014748914357498588,17.06361335543005,15.354116134315143,217.0,26.451832522307093,0.6450824660650689,0.5,1302.0,78.0,4103.333333333333,82.06666666666666,0.6,8.0,1,1,-1
id028_r6_1413094,28,id028,ID 28,6,CH5.npy,5,1.0,sharkfin,rise,1410556,1411704,1413094,392.5261111111111,1413261,392.5725,1412092,1413262,id028_r6_1413094,-0.00012644855107701858,-0.00013764723998854755,11.06106901267001,14.109647422193783,167.0,21.5865131923223,0.5124064694526078,0.5,1002.0,1.0,4103.333333333333,82.06666666666666,0.6,8.0,1,1,-1
id028_r6_1415685,28,id028,ID 28,6,CH5.npy,5,1.0,sharkfin,rise,1413262,1414410,1415685,393.24583333333334,1415851,393.2919444444444,1414689,1415886,id028_r6_1415685,-0.00014518221038795076,-0.00014518221038795076,11.2003150172999,10.973308269668802,166.0,22.21025776820662,0.504285683407639,0.5,996.0,35.0,4103.333333333333,82.06666666666666,0.6,8.0,1,1,-1
